id,user_id,balance,total_earned,total_spent,created_at,updated_at
6a33630a-cab5-45cc-8427-5e45cfbb1cb0,105708346760191841821,5,5,0,2025-07-17 06:03:56.079737,2025-07-17 06:03:56.079737
03bbac99-39d2-4ca9-93a2-0320b66d6589,104495702894121816776,5,5,0,2025-07-17 11:06:51.854541,2025-07-17 11:06:51.854541
7bae2a83-4a9f-4b6c-95ff-93d9a7e904e3,101360624850061634724,5,5,0,2025-07-17 11:29:14.202603,2025-07-17 11:29:14.202603
cf7be784-15da-4c8f-a1ef-6c0e76cd0f28,117165463064836349602,5,5,0,2025-07-17 13:08:19.692699,2025-07-17 13:08:19.692699
9309fb22-5a41-4d2d-81dc-01b72072cf38,106086091744332102665,5,5,0,2025-07-17 14:55:16.093279,2025-07-17 14:55:16.093279
529580d3-efc0-4765-a9a3-79836f9aefa4,117701319901601925947,5,5,0,2025-07-17 15:40:58.941779,2025-07-17 15:40:58.941779
775d29fb-6323-4001-8bd9-9c852ca4cd7d,109778049711871244557,5,5,0,2025-07-18 01:12:53.408702,2025-07-18 01:12:53.408702
4caa41eb-3a39-4cf0-a565-5855c33496af,103786941408413367778,5,5,0,2025-07-18 05:53:13.53851,2025-07-18 05:53:13.53851
faa0f851-3526-44e2-9507-7bd9571aba97,117695449625622225853,5,5,0,2025-07-18 06:26:03.258146,2025-07-18 06:26:03.258146
78389f97-bcee-467d-886d-2e5503be3d0b,109726742825905883354,5,5,0,2025-07-18 08:52:40.77746,2025-07-18 08:52:40.77746
c6418502-f15d-41c3-ae78-475c8efb3438,100994628054598472698,5,5,0,2025-07-18 09:07:50.498404,2025-07-18 09:07:50.498404
1de76ffa-fc97-4f7a-9453-6d00138d3cc2,114023689778883259451,5,5,0,2025-07-18 15:48:40.075537,2025-07-18 15:48:40.075537
cff12985-1c2e-49c2-b1d6-c4e178301c9f,107750091378820661573,5,5,0,2025-07-19 06:42:51.615695,2025-07-19 06:42:51.615695
4eff0639-9294-4d9f-a325-e4134519d65e,117353612926061562031,5,5,0,2025-07-19 13:33:56.274378,2025-07-19 13:33:56.274378
61ca4967-22f7-43d3-bf05-2ef94df9a92e,109794213874445960198,5,5,0,2025-07-20 04:17:01.924447,2025-07-20 04:17:01.924447
23528104-7010-4cd7-ae79-48416e5970eb,104902707858756235782,5,5,0,2025-07-20 04:17:26.128326,2025-07-20 04:17:26.128326
28dc0803-c5d1-4552-a8bc-6f8c008a3836,101423215996953264082,5,5,0,2025-07-20 04:54:31.448403,2025-07-20 04:54:31.448403
2eb4e20f-7abe-492c-b0d8-356b9f838db8,117776464164125267786,5,5,0,2025-07-20 06:02:16.152141,2025-07-20 06:02:16.152141
2bb22411-2c27-4249-9307-e7d6ab32880c,112227095036753812112,5,5,0,2025-07-20 06:59:24.602954,2025-07-20 06:59:24.602954
d5d5fb69-86b2-4caa-9d38-e2bab11eb971,114087122299731135015,5,5,0,2025-07-20 11:02:52.355743,2025-07-20 11:02:52.355743
71d7978a-fa35-4b87-8005-1e2ba2b80ff6,106668045506076837614,5,5,0,2025-07-20 12:25:51.03521,2025-07-20 12:25:51.03521
a7a4facd-d2ad-4540-9f35-d35a9ff3429f,100919373347353796566,5,5,0,2025-07-20 15:07:25.471288,2025-07-20 15:07:25.471288
